Time	Open	High	Low	Close
2020.07.19 00:00:00	0.90911	0.91037	0.90865	0.91015
2020.07.20 00:00:00	0.91016	0.91372	0.903	0.90472
2020.07.21 00:00:00	0.90473	0.90649	0.90003	0.90588
2020.07.22 00:00:00	0.90589	0.9136	0.9052	0.90857
2020.07.23 00:00:00	0.90856	0.91236	0.9084	0.9108
2020.07.24 00:00:00	0.91081	0.91241	0.90829	0.91078
2020.07.26 00:00:00	0.9098	0.91097	0.90977	0.91048
2020.07.27 00:00:00	0.91047	0.91473	0.90997	0.91303
2020.07.28 00:00:00	0.91301	0.9134	0.90522	0.90663
2020.07.29 00:00:00	0.90664	0.90864	0.90346	0.90759
2020.07.30 00:00:00	0.90761	0.9078	0.9016	0.90511
2020.07.31 00:00:00	0.90513	0.90621	0.89799	0.89994
2020.08.02 00:00:00	0.90007	0.90059	0.8992	0.89928
2020.08.03 00:00:00	0.89929	0.90142	0.89815	0.89916
2020.08.04 00:00:00	0.89915	0.904	0.89908	0.90279
2020.08.05 00:00:00	0.90277	0.90578	0.90114	0.90447
2020.08.06 00:00:00	0.90445	0.90526	0.8984	0.90385
2020.08.07 00:00:00	0.90384	0.90415	0.90149	0.90303
2020.08.09 00:00:00	0.90238	0.90283	0.90199	0.90264
2020.08.10 00:00:00	0.90262	0.90287	0.89744	0.89744
2020.08.11 00:00:00	0.89746	0.90083	0.89689	0.89906
2020.08.12 00:00:00	0.89905	0.90522	0.89887	0.90397
2020.08.13 00:00:00	0.90395	0.90515	0.90298	0.90396
2020.08.14 00:00:00	0.90397	0.90494	0.90001	0.90462
2020.08.16 00:00:00	0.90448	0.90469	0.90334	0.90429
2020.08.17 00:00:00	0.90427	0.90692	0.90346	0.90595
2020.08.18 00:00:00	0.90594	0.90601	0.90062	0.90135
2020.08.19 00:00:00	0.90134	0.9045	0.90028	0.90337
2020.08.20 00:00:00	0.90339	0.90678	0.89691	0.89787
2020.08.21 00:00:00	0.89786	0.9015	0.89436	0.90108
2020.08.23 00:00:00	0.90095	0.90128	0.90051	0.90106
2020.08.24 00:00:00	0.90105	0.90434	0.90012	0.90221
2020.08.25 00:00:00	0.90222	0.90364	0.89822	0.89985
2020.08.26 00:00:00	0.89987	0.90029	0.89463	0.89563
2020.08.27 00:00:00	0.89565	0.89638	0.89288	0.89541
2020.08.28 00:00:00	0.89543	0.89736	0.89081	0.89143
2020.08.30 00:00:00	0.89189	0.89236	0.89154	0.89225
2020.08.31 00:00:00	0.89227	0.89658	0.89165	0.89314
2020.09.01 00:00:00	0.89315	0.89454	0.8888	0.88968
2020.09.02 00:00:00	0.88966	0.89068	0.88734	0.88739
2020.09.03 00:00:00	0.88741	0.89335	0.88651	0.8927
2020.09.04 00:00:00	0.89269	0.89509	0.88992	0.89134
2020.09.06 00:00:00	0.89296	0.89392	0.89265	0.89329
2020.09.07 00:00:00	0.89331	0.89932	0.89288	0.89795
2020.09.08 00:00:00	0.89794	0.90777	0.89733	0.90752
2020.09.09 00:00:00	0.9075	0.913	0.90671	0.90802
2020.09.10 00:00:00	0.908	0.92696	0.9077	0.9231
2020.09.11 00:00:00	0.92311	0.92906	0.92096	0.92559
2020.09.13 00:00:00	0.9261	0.92631	0.92444	0.92446
2020.09.14 00:00:00	0.92447	0.92502	0.92004	0.92352
2020.09.15 00:00:00	0.92353	0.92582	0.91831	0.9191
2020.09.16 00:00:00	0.91913	0.92063	0.90939	0.91073
2020.09.17 00:00:00	0.9107	0.91689	0.90823	0.91298
2020.09.18 00:00:00	0.91297	0.91766	0.91144	0.91649
2020.09.20 00:00:00	0.91604	0.9162	0.91518	0.91588
2020.09.21 00:00:00	0.91586	0.91962	0.9146	0.91761
2020.09.22 00:00:00	0.9176	0.92193	0.91433	0.91863
2020.09.23 00:00:00	0.91861	0.92174	0.91359	0.91673
2020.09.24 00:00:00	0.91675	0.91798	0.91124	0.91508
2020.09.25 00:00:00	0.91511	0.91678	0.91182	0.91221
2020.09.27 00:00:00	0.90986	0.91187	0.90976	0.91139
2020.09.28 00:00:00	0.91141	0.9117	0.90248	0.90698
2020.09.29 00:00:00	0.90701	0.9145	0.90616	0.91261
2020.09.30 00:00:00	0.91262	0.91563	0.90661	0.90756
2020.10.01 00:00:00	0.90757	0.91548	0.90617	0.91131
2020.10.02 00:00:00	0.9113	0.91227	0.90435	0.90552
2020.10.04 00:00:00	0.90597	0.90666	0.90556	0.90638
2020.10.05 00:00:00	0.90637	0.90897	0.9053	0.9073
2020.10.06 00:00:00	0.90729	0.91252	0.90601	0.91093
2020.10.07 00:00:00	0.91094	0.91613	0.90943	0.91084
2020.10.08 00:00:00	0.91082	0.91219	0.90692	0.9093
2020.10.09 00:00:00	0.90931	0.91312	0.90636	0.90669
2020.10.11 00:00:00	0.9065	0.90693	0.90596	0.90669
2020.10.12 00:00:00	0.9067	0.90778	0.90276	0.90412
2020.10.13 00:00:00	0.90415	0.90845	0.90186	0.90771
2020.10.14 00:00:00	0.90772	0.91206	0.90063	0.90255
2020.10.15 00:00:00	0.90253	0.90766	0.90158	0.90719
2020.10.16 00:00:00	0.9072	0.91093	0.90432	0.90698
2020.10.18 00:00:00	0.90746	0.90763	0.90595	0.90628
2020.10.19 00:00:00	0.90627	0.90972	0.90219	0.90885
2020.10.20 00:00:00	0.90888	0.91476	0.90789	0.91295
2020.10.21 00:00:00	0.91292	0.91322	0.90108	0.90261
2020.10.22 00:00:00	0.90262	0.90452	0.9014	0.90333
2020.10.23 00:00:00	0.90334	0.91063	0.90207	0.90901
2020.10.25 00:00:00	0.90766	0.90819	0.90673	0.90761
2020.10.26 00:00:00	0.9076	0.91052	0.90405	0.90724
2020.10.27 00:00:00	0.90725	0.90841	0.9027	0.90408
2020.10.28 00:00:00	0.90405	0.90751	0.90143	0.90437
2020.10.29 00:00:00	0.90438	0.90585	0.90057	0.90302
2020.10.30 00:00:00	0.903	0.90518	0.89834	0.89899
2020.11.01 00:00:00	0.90026	0.90088	0.89961	0.90039
2020.11.02 00:00:00	0.90054	0.90479	0.89946	0.90058
2020.11.03 00:00:00	0.90073	0.90239	0.89557	0.89628
2020.11.04 00:00:00	0.89643	0.90585	0.89449	0.90461
2020.11.05 00:00:00	0.90476	0.9068	0.8986	0.89917
2020.11.06 00:00:00	0.89932	0.9054	0.89896	0.90296
2020.11.08 00:00:00	0.90274	0.90319	0.90199	0.90214
2020.11.09 00:00:00	0.90224	0.90477	0.89683	0.89768
2020.11.10 00:00:00	0.89782	0.89789	0.88834	0.891
2020.11.11 00:00:00	0.89116	0.89177	0.88604	0.89056
2020.11.12 00:00:00	0.89071	0.90036	0.89058	0.89939
2020.11.13 00:00:00	0.89954	0.90027	0.89634	0.89648
2020.11.15 00:00:00	0.89721	0.89759	0.89552	0.89574
2020.11.16 00:00:00	0.89591	0.89943	0.89544	0.89672
2020.11.17 00:00:00	0.89687	0.89811	0.89384	0.89467
2020.11.18 00:00:00	0.89482	0.89574	0.89144	0.89364
2020.11.19 00:00:00	0.89379	0.8963	0.89234	0.89544
2020.11.20 00:00:00	0.89559	0.89591	0.89179	0.89222
2020.11.22 00:00:00	0.89142	0.89179	0.89118	0.89169
2020.11.23 00:00:00	0.89184	0.89206	0.8866	0.88841
2020.11.24 00:00:00	0.88856	0.89124	0.88737	0.89017
2020.11.25 00:00:00	0.89032	0.89376	0.88892	0.89015
2020.11.26 00:00:00	0.8903	0.89338	0.89021	0.89175
2020.11.27 00:00:00	0.8919	0.89975	0.89146	0.89768
2020.11.29 00:00:00	0.89717	0.89767	0.89703	0.89755
2020.11.30 00:00:00	0.89776	0.90001	0.89407	0.89494
2020.12.01 00:00:00	0.89509	0.90065	0.89281	0.89911
2020.12.02 00:00:00	0.89926	0.90832	0.89849	0.90592
2020.12.03 00:00:00	0.90607	0.90646	0.89979	0.90263
2020.12.04 00:00:00	0.90277	0.90664	0.89822	0.90214
2020.12.06 00:00:00	0.90347	0.90361	0.90258	0.9032
2020.12.07 00:00:00	0.90338	0.91405	0.90278	0.90646
2020.12.08 00:00:00	0.90665	0.91155	0.90449	0.90583
2020.12.09 00:00:00	0.90598	0.90796	0.89826	0.90347
2020.12.10 00:00:00	0.90362	0.91413	0.90226	0.91266
2020.12.11 00:00:00	0.91281	0.9229	0.91148	0.91552
2020.12.13 00:00:00	0.90931	0.91083	0.90883	0.91071
2020.12.14 00:00:00	0.91105	0.91206	0.90447	0.91145
2020.12.15 00:00:00	0.9116	0.91481	0.90194	0.90366
2020.12.16 00:00:00	0.9038	0.90549	0.89914	0.90305
2020.12.17 00:00:00	0.9032	0.90498	0.89825	0.90345
2020.12.18 00:00:00	0.9036	0.90838	0.90311	0.90615
2020.12.20 00:00:00	0.91058	0.9115	0.90928	0.9109
2020.12.21 00:00:00	0.91116	0.92166	0.90692	0.90958
2020.12.22 00:00:00	0.90973	0.91565	0.90835	0.90916
2020.12.23 00:00:00	0.90931	0.90969	0.90008	0.90216
2020.12.24 00:00:00	0.90234	0.9031	0.89527	0.89895
2020.12.27 00:00:00	0.89882	0.89988	0.89864	0.89909
2020.12.28 00:00:00	0.89927	0.90912	0.89907	0.90731
2020.12.29 00:00:00	0.90746	0.90924	0.90561	0.90751
2020.12.30 00:00:00	0.90766	0.90851	0.90125	0.90217
2020.12.31 00:00:00	0.90232	0.9031	0.893	0.89359
2021.01.03 00:00:00	0.89537	0.89561	0.89475	0.89517
2021.01.04 00:00:00	0.89533	0.90478	0.89431	0.90263
2021.01.05 00:00:00	0.90277	0.90536	0.9013	0.90229
2021.01.06 00:00:00	0.90244	0.90843	0.90166	0.90542
2021.01.07 00:00:00	0.90557	0.90763	0.90148	0.90399
2021.01.08 00:00:00	0.90414	0.90449	0.89925	0.90076
2021.01.10 00:00:00	0.90096	0.90162	0.89994	0.90125
2021.01.11 00:00:00	0.90145	0.90362	0.89848	0.899
2021.01.12 00:00:00	0.89916	0.89948	0.89198	0.89306
2021.01.13 00:00:00	0.89321	0.89336	0.8883	0.89092
